CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
31,0.60606061,0.64367816,0.12087912,0.0,0.5,1.0,0.00036844,0.36363636,3.63636364
32,0.57142857,0.72413793,0.23809524,0.125,0.125,1.0,0.00050161,0.28571429,1.6
33,0.33992095,0.37829912,0.03370787,0.0,0.60869565,1.0,0.00010532,0.18181818,14.33333333
34,0.6025641,0.63662791,0.15315315,0.07692308,0.61538462,1.0,0.00052581,0.33333333,2.76470588
35,0.45751634,0.55555556,0.02097902,0.0,0.5,1.0,6.715e-05,0.23529412,23.33333333
36,0.42647059,0.49191686,0.03333333,0.0,0.47058824,1.0,9.476e-05,0.25,14.5
37,0.39166667,0.44486692,0.02083333,0.0,0.4375,0.9375,5.032e-05,0.26666667,23.5
38,0.54285714,0.61304348,0.02564103,0.0,0.46666667,1.0,8.048e-05,0.35714286,19.0
39,0.50549451,0.56304985,0.03157895,0.0,0.35714286,1.0,8.62e-05,0.30769231,15.33333333
40,0.5047619,0.60810811,0.02752294,0.0,0.53333333,1.0,8.048e-05,0.28571429,17.66666667
41,0.38562092,0.51145038,0.0,0.0,0.5,1.0,0.0,0.23529412,59.0
42,0.68181818,0.72507553,0.1,0.0,0.5,1.0,0.00033494,0.45454545,4.5
43,0.47794118,0.56521739,0.0,0.0,0.47058824,1.0,0.0,0.25,65.0
44,0.51648352,0.55397727,0.0,0.0,0.35714286,1.0,0.0,0.30769231,47.0
45,0.44166667,0.56973294,0.01851852,0.0,0.5625,1.0,5.032e-05,0.26666667,26.5
46,0.40522876,0.50823529,0.04615385,0.0,0.55555556,1.0,0.0001343,0.23529412,10.33333333
47,0.4,0.37931034,0.26666667,0.18181818,0.27272727,0.90909091,0.00058439,0.2,1.375
48,0.34285714,0.37636364,0.18181818,0.0952381,0.42857143,0.95238095,0.00061469,0.2,2.25
49,0.44761905,0.45895522,0.13761468,0.0,0.6,1.0,0.00040241,0.28571429,3.13333333
50,0.52727273,0.52258065,0.03333333,0.0,0.36363636,1.0,7.305e-05,0.3,14.5
51,0.56363636,0.61111111,0.01587302,0.0,0.45454545,1.0,3.652e-05,0.4,31.0
52,0.44444444,0.58082707,0.0,0.0,0.61111111,1.0,0.0,0.23529412,68.0
53,0.55128205,0.62408759,0.10416667,0.0,0.61538462,1.0,0.0003093,0.33333333,4.3
54,0.56410256,0.66545455,0.09278351,0.0,0.76923077,1.0,0.00027837,0.41666667,4.88888889
55,0.475,0.55980861,0.0,0.0,0.5625,1.0,0.0,0.26666667,57.0
56,0.95238095,0.94736842,0.11111111,0.0,0.71428571,1.0,0.00028652,0.83333333,4.0
57,0.36263736,0.47482014,0.12,0.0,0.28571429,1.0,0.00025859,0.23076923,3.66666667
58,0.71428571,0.71428571,0.02439024,0.0,0.25,1.0,5.016e-05,0.57142857,20.0
59,0.59090909,0.7037037,0.10344828,0.0,0.58333333,1.0,0.00030145,0.36363636,4.33333333
60,0.8,0.78947368,0.14285714,0.0,0.0,1.0,0.00026731,0.6,3.0
61,0.57142857,0.64390244,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
62,0.57142857,0.64705882,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
63,0.66666667,0.69827586,0.04,0.0,0.33333333,1.0,8.921e-05,0.375,12.0
64,0.57777778,0.62903226,0.0,0.0,0.4,1.0,0.0,0.33333333,26.0
65,0.45833333,0.50928382,0.09836066,0.0,0.4375,1.0,0.00030193,0.26666667,4.58333333
66,0.58974359,0.60188088,0.03157895,0.0,0.53846154,1.0,9.279e-05,0.33333333,15.33333333
67,0.53846154,0.46613546,0.03448276,0.0,0.61538462,1.0,9.279e-05,0.33333333,14.0
68,0.58974359,0.65830721,0.0,0.0,0.69230769,1.0,0.0,0.33333333,46.0
69,0.68888889,0.71351351,0.04615385,0.0,0.5,1.0,0.00012048,0.44444444,10.33333333
70,0.69090909,0.7219917,0.02564103,0.0,0.63636364,1.0,7.305e-05,0.5,19.0
71,0.55238095,0.64383562,0.0,0.0,0.8,1.0,0.0,0.35714286,58.0
72,0.62222222,0.64748201,0.03448276,0.0,0.5,1.0,8.032e-05,0.33333333,14.0
73,0.64444444,0.68627451,0.10769231,0.0,0.5,1.0,0.00028112,0.44444444,4.14285714
74,0.71428571,0.70909091,0.0625,0.0,0.28571429,1.0,0.00011461,0.5,7.5
75,0.6043956,0.67205543,0.0,0.0,0.64285714,1.0,0.0,0.38461538,55.0
76,0.62121212,0.70188679,0.06818182,0.0,0.58333333,1.0,0.00020096,0.36363636,6.83333333
77,0.26206897,0.45378151,0.03797468,0.0,0.56666667,1.0,0.00012146,0.13793103,12.66666667
78,0.63636364,0.69339623,0.01408451,0.0,0.45454545,1.0,3.652e-05,0.4,35.0
79,0.7,0.6,0.22222222,0.2,0.0,1.0,0.00032064,0.5,1.75
80,0.77777778,0.80254777,0.09677419,0.0,0.66666667,1.0,0.00026763,0.5,4.66666667
81,0.69090909,0.72332016,0.03797468,0.0,0.54545455,1.0,0.00010957,0.4,12.66666667
82,0.38970588,0.51864407,0.0619469,0.0,0.58823529,1.0,0.00016583,0.25,7.57142857
